n, mse
100, 5.0057543681030525
100, 6.39331892674996
100, 6.051247081948139
100, 8.789097950633948
100, 6.884688647290891
100, 7.153502651634494
100, 8.07376954443657
100, 6.2013071687503825
100, 7.535667843965913
100, 8.955697073159637
100, 11.62854971140351
100, 3.312547031214586
100, 8.781581751674937
100, 6.893551090738396
100, 6.550158160525728
100, 6.455086659571771
100, 5.3204883422307585
100, 5.5056122338928635
100, 10.57746993841673
100, 5.439829782544104
100, 4.999609513466008
100, 7.479463096432182
100, 4.373691439148059
100, 6.497626299183928
100, 6.767499903767667
100, 4.17930141969985
100, 4.261493017579449
100, 5.610291336384272
100, 7.085494823313691
100, 5.7122952371140485
100, 4.072437696882005
100, 5.252628701210315
100, 5.434814715767382
100, 6.07150861203789
100, 4.903170884812884
100, 3.649381485125479
100, 14.61679423828997
100, 5.389375396453605
100, 3.5048981858289876
100, 5.611482999873361
100, 6.976975986181489
100, 3.528874821346281
100, 10.433582350317637
100, 7.832487143357814
100, 6.297885369551432
100, 5.149164916244939
100, 6.212663277629526
100, 3.9704046424307067
100, 4.318958195484187
100, 2.6539268912878926
100, 6.654129069853363
100, 8.054694172595656
100, 2.9297473825593126
100, 7.14914460151499
100, 3.8531937767984035
100, 6.04708089310768
100, 7.258179277599592
1000, 6.55544729009349
1000, 6.958185083146763
1000, 6.5691407059929885
1000, 7.296972625158345
1000, 5.803466606990977
1000, 5.798457725149003
1000, 6.8113571196853355
1000, 5.115200012389625
1000, 5.879888839123864
1000, 5.936873884110332
1000, 6.440148329255212
1000, 7.077891844556766
1000, 6.495730684226612
1000, 6.075496388575657
1000, 4.9851229201041
1000, 6.595584137476915
1000, 6.385769974390322
1000, 6.049429341065758
1000, 6.59092654063735
1000, 5.830187501898742
1000, 7.016078751098875
1000, 5.8235825392209595
1000, 5.780755253059572
1000, 6.0792382340221085
1000, 6.45071249090596
1000, 6.457420538304202
1000, 6.576813520282908
1000, 5.936339724279451
1000, 6.5102215714766025
1000, 6.652276131923483
1000, 6.236049925174089
