n, mse
100, 6.823893073750857
100, 13.340246562682495
100, 5.050278267544138
100, 9.525323215236861
100, 4.011654357473995
100, 6.790647388728464
100, 6.860210074496642
100, 3.9038839415150006
100, 4.605901022455287
100, 5.85997743535569
100, 2.201423618689879
100, 3.6275857025843576
100, 2.088154163163878
100, 4.139824336073948
100, 6.526716761633269
100, 5.4337458308934234
100, 4.42593961365899
100, 2.0361298479734034
100, 10.517767139376957
100, 3.54599002171076
100, 4.248140417259116
100, 6.238933156015079
100, 4.935103534499822
100, 19.894833177310883
100, 3.5903278885873933
100, 4.6427123564466966
100, 2.174955426318224
100, 3.630468713208475
100, 5.20783016597576
100, 7.822946768254229
100, 3.686039998225849
100, 3.779898513905235
100, 5.357036110136713
100, 4.512656252200346
100, 6.4775245148891845
100, 5.420366364385131
100, 6.084233506853133
100, 2.4787803517037412
100, 7.587374788919755
100, 3.9205677091389477
100, 11.738488647342635
100, 5.764193544788637
100, 5.934315521907807
100, 3.757780782072918
100, 24.75886532029017
100, 10.836108724058038
100, 4.87286050183148
100, 8.193649357760588
100, 4.348536462534876
100, 4.136031415607977
100, 16.35516294972623
100, 5.445982193275663
100, 4.7254244707022846
100, 4.387954538371683
100, 2.529525826633994
1000, 4.08679562231187
1000, 3.6618567827662343
1000, 4.1484205531096725
1000, 4.706670506649036
1000, 3.7525328299983665
1000, 3.694560418118598
1000, 3.8934012017507915
1000, 4.144505902598119
1000, 4.846053750281083
1000, 4.577104494787636
1000, 4.329231149821795
1000, 4.396685376380137
1000, 4.460014144203393
1000, 4.131174969067198
1000, 3.7396832758173804
1000, 4.210860923042016
1000, 4.130160022647669
1000, 4.077515612932569
1000, 4.253861308115363
1000, 4.003497627736348
1000, 4.360005585604959
1000, 3.9225795879113834
1000, 3.5112164423917283
1000, 4.886602163844616
1000, 3.5270019669396873
1000, 4.879774629425221
1000, 4.208526094859501
1000, 3.699390192554367
1000, 4.74446800723195
1000, 3.360819117519079
1000, 3.4607299441433588
1000, 4.461011924371351
1000, 4.726711135955893
1000, 4.618512476215633
1000, 3.5968896753112993
1000, 3.9251788486016648
1000, 5.02900043545074
1000, 4.331814822197277
1000, 3.910275960664862
1000, 4.364240621685721
1000, 4.1321882688417295
1000, 4.789684755938136
1000, 4.606589020360435
1000, 3.808526710350355
1000, 4.735484603435373
1000, 4.918756867023253
1000, 4.352039129841575
1000, 3.9501263852861475
1000, 4.508895532031784
1000, 4.378521681472391
1000, 4.43392058129372
1000, 4.147214697431723
1000, 3.531481938926104
1000, 3.674465986614871
1000, 4.139178670623292
1000, 4.647957060241575
1000, 4.258842592662493
1000, 4.458446973556153
1000, 4.740756023973976
1000, 3.9085517132404886
1000, 4.85209105866909
1000, 3.9713230388057026
1000, 3.7327540079118613
1000, 4.231526560392907
1000, 4.491244074874835
1000, 4.0456749070008735
1000, 3.5891724324435983
1000, 5.007767374271371
1000, 4.022934972950684
1000, 4.028875185261614
1000, 3.6067042479067664
1000, 4.397134124919111
1000, 4.85091671425474
1000, 4.165284425755392
1000, 4.2205079306989495
1000, 4.545266343229404
1000, 4.190419959697659
1000, 4.191009016991112
1000, 3.9074948787676864
1000, 4.047952047914869
1000, 4.7460957737241785
1000, 4.477591322579897
1000, 3.3018954398728773
1000, 3.7194015494823924
1000, 5.5294847273253565
1000, 4.1358484125226
1000, 4.124005549301513
1000, 3.2619876552698726
1000, 5.152234718746658
1000, 4.825393947376293
1000, 4.637993947868337
1000, 4.248739662620609
1000, 4.625726586661578
1000, 4.54698072235421
1000, 3.370237868513168
1000, 4.271139727693363
1000, 4.241802901631239
1000, 4.880306777936337
1000, 3.9291064509185163
1000, 4.871815324209383
5000, 4.004085247383094
5000, 3.8271477622475
5000, 4.065714370211455
5000, 4.116969040722977
5000, 4.114629394919861
5000, 4.115345815536866
5000, 4.254962889345388
5000, 4.557506943568904
5000, 3.858458085589273
5000, 4.180351698727783
5000, 4.0754791867701305
5000, 4.065233082529147
5000, 4.260671809380327
5000, 4.194980516422376
5000, 4.070084958922333
5000, 4.000132785379072
5000, 4.277912979770568
5000, 3.9991160060504836
5000, 4.279996788925815
5000, 3.814504391796746
5000, 4.35792933556282
5000, 4.232591371542452
5000, 4.24067248864352
5000, 4.154007149943464
5000, 4.460597826578607
5000, 4.2325195870845524
5000, 4.192746515340775
5000, 4.298175860191803
5000, 4.4387518184624035
5000, 4.209528684324469
5000, 4.019317193464865
5000, 4.279017910536761
5000, 3.9473754492548814
5000, 4.3552802749956845
5000, 4.50408154869989
